,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
1185,HP 파빌리온 15-eg1122TU,"1,045,000원",HP,파빌리온,별점4.8 / 5,39.62cm(15.6인치),null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i7-1195G7,Iris Xe Graphics
1186,LG전자 그램 2in1 14TD990-GX50K,"1,389,930원",LG전자,그램 2in1,별점4.8 / 5,null,1.14kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),그램360,코어i5-8265U,UHD620
1187,삼성전자 갤럭시북 프로 NT930XDB-KC58S,"1,494,890원",삼성전자,갤럭시북 프로,별점4.8 / 5,null,0.87kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,Iris Xe Graphics
1188,Apple 맥북 프로 13 CTO 2022년 M2 8코어 CPU 및 10코어 GPU/16G/512G,"2,179,000원",Apple,Apple,별점5.0 / 5,33.78cm(13.3인치),1.4kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,M2,M2
1189,LG전자 울트라PC 13UD70P-GX70K,"1,098,990원",LG전자,울트라PC,별점4.9 / 5,null,0.98kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,라이젠7-4700U,라데온 Graphics
1190,삼성전자 노트북5 NT550EAZ-AD3A,"628,000원",삼성전자,노트북5,별점5.0 / 5,null,1.95kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,코어i3-7020U,GMA HD 620
1191,삼성전자 노트북9 LITE NT910S3G-K8BP,"1,115,070원",삼성전자,노트북9 LITE,-,null,1.44kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366x768(FWXGA),8GB,코어i3-4020Y,GMA HD 4200
1192,삼성전자 갤럭시북 NT750XDA-KH29I,"840,990원",삼성전자,갤럭시북,별점4.3 / 5,39.62cm(15.6인치),1.55kg,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1920x1080(FHD),8GB,펜티엄-7505,UHD Graphics
1193,레노버 아이디어패드 Slim3-15ITL 7D2,"699,000원",레노버,아이디어패드,별점5.0 / 5,39.62cm(15.6인치),1.65kg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i7-1165G7,Iris Xe Graphics
1194,MSI Titan GT77 12UHS-i9 4K WIN11,"6,149,000원",MSI,MSI,별점4.0 / 5,43.94cm(17.3인치),3.3kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840x2160(4K UHD),64GB,코어i9-12900HX,지포스 RTX3080 Ti
1195,삼성전자 노트북5 METAL NT560XAA-K34A,"808,910원",삼성전자,노트북5 METAL,-,39.62cm(15.6인치),1.95kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,코어i3-8130U,HD620
1196,삼성전자 노트북 PEN S NT950SBE-K58W,"1,823,030원",삼성전자,노트북 PEN S,별점4.9 / 5,38.10cm(15인치),null,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),null,1.6GHz,1.6GHz
1197,삼성전자 갤럭시북 프로 NT950XDC-XL51S,"1,687,880원",삼성전자,갤럭시북 프로,별점5.0 / 5,39.62cm(15.6인치),1.15kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,Iris Xe Graphics
