,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
188,LG전자 울트라PC 14U30P-E716K,"398,000원",LG전자,울트라PC,별점5.0 / 5,35.56cm(14인치),1.45kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1366x768(FWXGA),4GB,N4120,UHD Graphics
189,LG전자 그램15 15Z95N-GA56K,"1,438,700원",LG전자,그램15,별점4.9 / 5,39.6cm(15.6인치),1.12kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i5-1135G7,Iris Xe Graphics
190,LG전자 LG그램 17Z95P-GA7LK,"1,719,000원",LG전자,LG그램,별점5.0 / 5,43.18cm(17인치),1.35kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1195G7,Iris Xe Graphics
191,LG전자 LG그램 16Z95P-GR50K,"1,318,230원",LG전자,LG그램,별점4.9 / 5,40.64cm(16인치),1.19kkg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8GB,i5-1155G7,코어i5-1155G7
192,LG전자 울트라PC 15U50Q-GR50K,"1,085,490원",LG전자,울트라PC,-,39.62cm(15.6인치),1.8kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-1240P,Iris Xe Graphics
193,ASUS 비보북프로 14X OLED N7400PC-KM003,"917,210원",ASUS,비보북프로,별점4.8 / 5,35.56cm(14인치),1.45kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2880x1800(WQXGA),16GB,i5-11300H,Iris Xe Graphics
194,LG전자 울트라기어 17GD90Q-SX79K,"2,109,000원",LG전자,울트라기어,별점4.9 / 5,43.94cm(17.3인치),2.64kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-11800H,RTX3060
195,LG전자 LG그램 16ZD90Q-GX76K,"1,849,000원",LG전자,LG그램,별점5.0 / 5,40.6cm(16인치),1.199kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1260P,Iris Xe Graphics
196,LG전자 울트라PC 13U70Q-GR5SK,"849,000원",LG전자,울트라PC,별점4.8 / 5,33.78cm(13.3인치),0.98kg,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),8GB,5500U,라데온 Graphics
197,LG전자 LG그램 16ZD90Q-GX5LK,"1,594,900원",LG전자,LG그램,별점4.9 / 5,40.6cm(16인치),"1,199kg",1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i5-1240P,Iris Xe Graphics
198,LG전자 LG그램 17ZD95P-GX50K,"1,261,460원",LG전자,LG그램,별점4.9 / 5,43.18cm(17인치),1.35kg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8GB,i5-1155G7,Iris Xe Graphics
199,삼성전자 갤럭시북 NT750XDA-XC52S,"1,177,850원",삼성전자,갤럭시북,별점4.9 / 5,39.62cm(15.6인치),1.59kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16GB,i5-1135G7,Iris Xe Graphics
200,삼성전자 노트북 플러스2 NT550XDZ-AD2AW,"548,990원",삼성전자,노트북 플러스2,별점4.8 / 5,39.62cm(15.6인치),1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,7505,UHD Graphics
201,삼성전자 삼성 NT750XDA-KC39U,"779,880원",삼성전자,삼성,별점5.0 / 5,39.62cm(15.6인치),1.55kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),8GB,i3-1115G4,UHD Graphics
202,삼성전자 삼성 NT350XCR-AD5AS,"687,590원",삼성전자,삼성,별점4.8 / 5,39.62cm(15.6인치),1.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-10210U,UHD Graphics
203,삼성전자 갤럭시북 프로 NT950XDC-XC59S,"1,265,020원",삼성전자,갤럭시북 프로,별점4.7 / 5,39.62cm(15.6인치),1.15kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-1135G7,Iris Xe Graphics
204,LG전자 그램360 16T90P-GA79K,"1,848,990원",LG전자,그램360,별점4.8 / 5,40.6cm(16인치),1.48kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2560x1600(WQXGA),16GB,i7-1165G7,Iris Xe Graphics
205,LG전자 그램16 16ZD90P-GX30K,"1,249,990원",LG전자,그램16,별점4.9 / 5,40.6cm(16인치),1.19kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8GB,i3-1115G4,UHD Graphics
206,LG전자 울트라기어 17UD70Q-PX70K,"1,832,000원",LG전자,울트라기어,별점5.0 / 5,43.18cm(17인치),1.95kg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2560x1600(WQXGA),8GB,i7-1260P,지포스 RTX3050 Ti
207,삼성전자 삼성 NT350XCR-A78MW,"643,990원",삼성전자,삼성,별점4.7 / 5,39.62cm(15.6인치),1.81kg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),8GB,i5-10210U,UHD Graphics
208,LG전자 그램16 16ZD90P-GX7TK,"1,339,000원",LG전자,그램16,별점4.9 / 5,40.6cm(16인치),1.19kg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1165G7,Iris Xe Graphics
209,레노버 요가 Slim7 Carbon13ITL5 82EV005TKR,"1,149,000원",레노버,요가,별점4.9 / 5,33.78cm(13.3인치),0.97kg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1165G7,Iris Xe Graphics
210,LG전자 LG그램 16Z90Q-GA5LK,"1,731,280원",LG전자,LG그램,별점4.9 / 5,40.6cm(16인치),"1,199kg",1.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i5-1240P,Iris Xe Graphics
211,HP Victus 16-d1142TX,"1,429,000원",HP,HP,별점4.8 / 5,40.89cm(16.1인치),2.46kg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),16GB,i7-12700H,코어i7-12700H
212,LG전자 그램16 16ZD95P-GX7LK,"1,348,960원",LG전자,그램16,별점4.9 / 5,40.64cm(16인치),1.19kg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1195G7,Iris Xe Graphics
213,ASUS G17 G713RM-LL121,"1,690,060원",ASUS,-,별점4.7 / 5,43.94cm(17.3인치),2.9kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2560x1440(QHD),8GB,6800H,RTX3060
214,레노버 요가 Slim7 Pro 14IHU i5 IPS MX450,"1,049,000원",레노버,요가,별점4.9 / 5,35.56cm(14인치),1.39kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2240x1400,16GB,i5-11300H,Iris Xe Graphics
215,HP VICTUS 16-e0219AX,"1,509,000원",HP,VICTUS,별점4.5 / 5,40.89cm(16.1인치),2.46kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,5800H,RTX3060
216,HP 드래곤플라이맥스 4P7K3PA,"1,948,570원",HP,HP,별점4.9 / 5,33.78cm(13.3인치),1.13kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-1165G7,Iris Xe Graphics
217,HP 16-E1011ax,"1,099,000원",HP,HP,-,40.89cm(16.1인치),2.46kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,6600H,지포스 RTX3050
218,HP 470 G8 4J8P5PC,"1,168,890원",HP,HP,별점4.8 / 5,43.94cm(17.3인치),2.09kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i7-1165G7,Iris Xe Graphics
219,Apple 맥북 에어 2022년 M2 8코어 CPU 및 8코어 GPU 256G 스페이스 그레이 (MLXW3KH/A),"1,554,800원",Apple,Apple,별점4.9 / 5,34.5cm(13.6인치),1.24kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560X1664,8GB,M2,M2
220,마이크로소프트 서피스 프로8 8PT-00030,"1,690,000원",마이크로소프트,서피스,별점4.8 / 5,33.02cm(13인치),0.891kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2880x1920,16GB,i5-1135G7,Iris Xe Graphics
221,HP 15s-fq5001TU,"799,000원",HP,HP,별점4.9 / 5,39.62cm(15.6인치),1.69kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-1235U,Iris Xe Graphics
222,주연테크 캐리북e J3GW,"334,450원",주연테크,주연테크,별점4.7 / 5,35.56cm(14인치),1.45kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),4GB,N4020,UHD600
223,삼성전자 삼성 NT350XCR-AD3AS,"629,000원",삼성전자,삼성,별점4.8 / 5,39.62cm(15.6인치),1.81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i3-10110U,UHD Graphics
224,LG전자 울트라기어 17G90Q-XD79K,"3,349,000원",LG전자,울트라기어,별점4.9 / 5,43.94cm(17.3인치),2.64kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-11800H,RTX3080
225,삼성전자 노트북 플러스2 NT550XDZ-AD5AY,"697,990원",삼성전자,노트북 플러스2,별점5.0 / 5,39.62cm(15.6인치),1.81kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-1135G7,Iris Xe Graphics
226,에이서 A515-45 테라4,"598,990원",에이서,-,별점4.8 / 5,39.62cm(15.6인치),1.7kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,5500U,라데온 Graphics
227,LG전자 LG그램 15Z95P-GA5LK,"1,417,100원",LG전자,LG그램,별점4.9 / 5,39.62cm(15.6인치),1.12kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16GB,i5-1155G7,Iris Xe Graphics
228,삼성전자 갤럭시북 NT750XDA-KC58S,"978,530원",삼성전자,갤럭시북,별점4.8 / 5,39.62cm(15.6인치),1.55kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-1135G7,Iris Xe Graphics
229,LG전자 그램17 17ZD90P-GX5SK,"1,397,990원",LG전자,그램17,별점4.7 / 5,43.1cm(17인치),1.35kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i5-1135G7,Iris Xe Graphics
230,삼성전자 삼성 NT350XCR-AD7AS,"748,990원",삼성전자,삼성,별점5.0 / 5,39.62cm(15.6인치),1.81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i7-10510U,UHD Graphics
231,LG전자 그램17 17Z90P-GA76K,"1,869,000원",LG전자,그램17,별점4.9 / 5,43.1cm(17인치),1.35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2560x1600(WQXGA),16GB,i7-1165G7,Iris Xe Graphics
232,LG전자 LG그램 17ZD95P-GX7BK,"1,427,990원",LG전자,LG그램,별점4.9 / 5,43.1cm(17인치),1.35kg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1195G7,Iris Xe Graphics
233,디클 클릭북 D15 4GB Win10,"354,900원",디클,디클,별점4.8 / 5,39.62cm(15.6인치),1.82kg,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1920x1080(FHD),4GB,N4100,UHD600
234,ASUS 비보북 17 X1702ZA-AU010,"782,000원",ASUS,비보북,별점4.8 / 5,43.94cm(17.3인치),2.1kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),8GB,i5-1240P,Iris Xe Graphics
235,LG전자 울트라기어 17G90Q-SD79K,"2,297,970원",LG전자,울트라기어,별점4.9 / 5,43.94cm(17.3인치),2.64kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-11800H,RTX3060
236,삼성전자 갤럭시북2 NT750XED-KF58G,"1,148,870원",삼성전자,갤럭시북2,별점5.0 / 5,39.62cm(15.6인치),1.57kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,i5-1235U,Iris Xe Graphics
237,LG전자 LG그램 17Z90Q-GA76K,"2,259,990원",LG전자,LG그램,별점4.8 / 5,43.18cm(17인치),1.35kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1260P,Iris Xe Graphics
